Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
Resnet50,CONV4_2_1,256,917505,6.59699e+08,55.9999,84.8871,7.00531e+07,3099.55,64,28.1384,32,9,184,28,1,1,200704,262144,7.78844e+07,51380224,2816.18,56.5248,4,222.848,51380224, 25552440, 25552440, 200704, 2.01078, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 50176, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 14, 2
Resnet50,CONV4_2_2,256,302854,6.51189e+08,280.448,430.67,7.23597e+07,3212.6,64,150.801,504,9,1056,180,1,1,50176,589824,1.3043e+08,84934656,2816.18,169.574,4,222.848,84934656, 14234544, 14234544, 50176, 5.9668, 84934656, 589824, 589824, 589824, 144, 84934656, 84934656, 36864, 2359296, 1, 2, 8, 3, 1, 1, 1, 1, 1, 1, 12, 6
Resnet50,CONV4_2_3,256,917505,1.19379e+09,55.9999,46.9094,7.00531e+07,3099.55,64,28.125,32,9,184,28,1,1,50176,262144,4.30396e+07,51380224,2816.18,56.5248,4,222.848,51380224, 25532472, 25532472, 50176, 2.01235, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 200704, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 14, 2
Resnet50,CONV4_2_Residual,256,7169,3.6145e+08,27.9961,77.4549,7.00531e+07,3099.55,64,28.0006,30,9,232,24,1,1,200704,1024,555274,200704,2816.18,56.5248,4,222.848,200704, 199684, 199684, 200704, 1.00511, 200704, 1024, 1024, 1024, 196, 200704, 200704, 200704, 200704, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 14, 1
Resnet50,CONV4_3_1,256,917505,6.59699e+08,55.9999,84.8871,7.00531e+07,3099.55,64,28.1384,32,9,184,28,1,1,200704,262144,7.78844e+07,51380224,2816.18,56.5248,4,222.848,51380224, 25552440, 25552440, 200704, 2.01078, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 50176, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 14, 2
Resnet50,CONV4_3_2,256,302854,6.51189e+08,280.448,430.67,7.23597e+07,3212.6,64,150.801,504,9,1056,180,1,1,50176,589824,1.3043e+08,84934656,2816.18,169.574,4,222.848,84934656, 14234544, 14234544, 50176, 5.9668, 84934656, 589824, 589824, 589824, 144, 84934656, 84934656, 36864, 2359296, 1, 2, 8, 3, 1, 1, 1, 1, 1, 1, 12, 6
Resnet50,CONV4_3_3,256,917505,1.19379e+09,55.9999,46.9094,7.00531e+07,3099.55,64,28.125,32,9,184,28,1,1,50176,262144,4.30396e+07,51380224,2816.18,56.5248,4,222.848,51380224, 25532472, 25532472, 50176, 2.01235, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 200704, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 14, 2
Resnet50,CONV4_3_Residual,256,7169,3.6145e+08,27.9961,77.4549,7.00531e+07,3099.55,64,28.0006,30,9,232,24,1,1,200704,1024,555274,200704,2816.18,56.5248,4,222.848,200704, 199684, 199684, 200704, 1.00511, 200704, 1024, 1024, 1024, 196, 200704, 200704, 200704, 200704, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 14, 1
Resnet50,CONV4_4_1,256,917505,6.59699e+08,55.9999,84.8871,7.00531e+07,3099.55,64,28.1384,32,9,184,28,1,1,200704,262144,7.78844e+07,51380224,2816.18,56.5248,4,222.848,51380224, 25552440, 25552440, 200704, 2.01078, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 50176, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 14, 2
Resnet50,CONV4_4_2,256,302854,6.51189e+08,280.448,430.67,7.23597e+07,3212.6,64,150.801,504,9,1056,180,1,1,50176,589824,1.3043e+08,84934656,2816.18,169.574,4,222.848,84934656, 14234544, 14234544, 50176, 5.9668, 84934656, 589824, 589824, 589824, 144, 84934656, 84934656, 36864, 2359296, 1, 2, 8, 3, 1, 1, 1, 1, 1, 1, 12, 6
