Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
Resnet50,CONV3_3_3,256,1004551,8.52689e+08,51.1475,59.9837,5.77324e+07,3002.72,32,12.8572,64,9,648,6,1,1,100352,65536,6.02567e+07,51380224,2816.18,56.5248,4,126.019,51380224, 12836928, 12836928, 100352, 4.00253, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 401408, 802816, 1, 2, 10, 2, 1, 1, 1, 5, 5, 5, 256, 4
Resnet50,CONV3_3_Residual,256,12561,2.33253e+07,31.9567,1370.04,5.77324e+07,3002.72,32,256.327,512,9,1536,6,1,1,401408,512,1.72091e+07,401408,2816.18,56.5248,4,126.019,401408, 401408, 401408, 401408, 1, 401408, 512, 512, 512, 784, 401408, 401408, 401408, 401408, 1, 8, 16, 8, 8, 8, 8, 1, 1, 1, 256, 1
Resnet50,CONV3_4_1,256,502343,1.22297e+08,51.1406,418.168,5.77324e+07,3002.72,32,12.8613,64,9,648,6,1,1,200704,32768,2.10064e+08,25690112,2816.18,56.5248,4,126.019,25690112, 6420544, 6420544, 200704, 4.00124, 25690112, 32768, 32768, 32768, 784, 25690112, 25690112, 100352, 401408, 1, 2, 10, 2, 1, 1, 1, 5, 5, 5, 256, 4
Resnet50,CONV3_4_2,256,1603639,3.25623e+08,62.1588,190.892,5.77324e+07,3002.72,32,5.6691,77,9,5768,54,1,1,100352,147456,3.06122e+08,99680256,2816.18,56.5248,4,126.019,99680256, 8927808, 8927808, 100352, 11.1651, 99680256, 147456, 147456, 147456, 676, 99680256, 99680256, 86528, 173056, 1, 6, 90, 6, 1, 1, 1, 37, 37, 37, 256, 12
Resnet50,CONV3_4_3,256,1004551,8.52689e+08,51.1475,59.9837,5.77324e+07,3002.72,32,12.8572,64,9,648,6,1,1,100352,65536,6.02567e+07,51380224,2816.18,56.5248,4,126.019,51380224, 12836928, 12836928, 100352, 4.00253, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 401408, 802816, 1, 2, 10, 2, 1, 1, 1, 5, 5, 5, 256, 4
Resnet50,CONV3_4_Residual,256,12561,2.33253e+07,31.9567,1370.04,5.77324e+07,3002.72,32,256.327,512,9,1536,6,1,1,401408,512,1.72091e+07,401408,2816.18,56.5248,4,126.019,401408, 401408, 401408, 401408, 1, 401408, 512, 512, 512, 784, 401408, 401408, 401408, 401408, 1, 8, 16, 8, 8, 8, 8, 1, 1, 1, 256, 1
Resnet50,CONV4_1_1,256,504199,1.28946e+08,50.9523,395.144,5.77324e+07,3002.72,32,13.0531,64,9,648,6,1,1,401408,131072,1.99231e+08,25690112,2816.18,56.5248,4,126.019,25690112, 6418496, 6418496, 401408, 4.00251, 25690112, 131072, 131072, 131072, 196, 25690112, 25690112, 200704, 401408, 1, 2, 10, 2, 1, 1, 1, 5, 5, 5, 256, 4
Resnet50,CONV4_1_2,256,1376439,3.27492e+08,61.7061,188.42,5.77324e+07,3002.72,32,6.45969,77,9,5768,54,1,1,50176,589824,2.59349e+08,84934656,2816.18,56.5248,4,126.019,84934656, 8221248, 8221248, 50176, 10.3311, 84934656, 589824, 589824, 589824, 144, 84934656, 84934656, 36864, 147456, 1, 6, 90, 7, 1, 1, 1, 37, 37, 37, 256, 12
Resnet50,CONV4_1_3,256,1008135,7.68343e+08,50.9656,66.3318,5.77324e+07,3002.72,32,13.045,64,9,648,6,1,1,50176,262144,6.68714e+07,51380224,2816.18,56.5248,4,126.019,51380224, 12828736, 12828736, 50176, 4.00509, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 200704, 802816, 1, 2, 10, 2, 1, 1, 1, 5, 5, 5, 256, 4
Resnet50,CONV4_1_Residual,256,6305,1.16897e+07,31.8325,2723.13,5.77324e+07,3002.72,32,257.306,512,9,1536,6,1,1,200704,1024,1.71693e+07,200704,2816.18,56.5248,4,126.019,200704, 200704, 200704, 200704, 1, 200704, 1024, 1024, 1024, 196, 200704, 200704, 200704, 200704, 1, 8, 16, 8, 8, 8, 8, 1, 1, 1, 256, 1
Resnet50,CONV4_2_1,256,1008519,2.43259e+08,50.9462,209.432,5.77324e+07,3002.72,32,13.0572,64,9,648,6,1,1,200704,262144,2.11216e+08,51380224,2816.18,56.5248,4,126.019,51380224, 12841024, 12841024, 200704, 4.00126, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 50176, 802816, 1, 2, 10, 2, 1, 1, 1, 5, 5, 5, 256, 4
Resnet50,CONV4_2_2,256,1376439,4.93509e+08,61.7061,125.035,5.77324e+07,3002.72,32,6.45969,77,9,5768,54,1,1,50176,589824,1.72104e+08,84934656,2816.18,56.5248,4,126.019,84934656, 8221248, 8221248, 50176, 10.3311, 84934656, 589824, 589824, 589824, 144, 84934656, 84934656, 36864, 147456, 1, 6, 90, 7, 1, 1, 1, 37, 37, 37, 256, 12
Resnet50,CONV4_2_3,256,1008135,7.68343e+08,50.9656,66.3318,5.77324e+07,3002.72,32,13.045,64,9,648,6,1,1,50176,262144,6.68714e+07,51380224,2816.18,56.5248,4,126.019,51380224, 12828736, 12828736, 50176, 4.00509, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 200704, 802816, 1, 2, 10, 2, 1, 1, 1, 5, 5, 5, 256, 4
Resnet50,CONV4_2_Residual,256,6305,1.16897e+07,31.8325,2723.13,5.77324e+07,3002.72,32,257.306,512,9,1536,6,1,1,200704,1024,1.71693e+07,200704,2816.18,56.5248,4,126.019,200704, 200704, 200704, 200704, 1, 200704, 1024, 1024, 1024, 196, 200704, 200704, 200704, 200704, 1, 8, 16, 8, 8, 8, 8, 1, 1, 1, 256, 1
Resnet50,CONV4_3_1,256,1008519,2.43259e+08,50.9462,209.432,5.77324e+07,3002.72,32,13.0572,64,9,648,6,1,1,200704,262144,2.11216e+08,51380224,2816.18,56.5248,4,126.019,51380224, 12841024, 12841024, 200704, 4.00126, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 50176, 802816, 1, 2, 10, 2, 1, 1, 1, 5, 5, 5, 256, 4
Resnet50,CONV4_3_2,256,1376439,4.93509e+08,61.7061,125.035,5.77324e+07,3002.72,32,6.45969,77,9,5768,54,1,1,50176,589824,1.72104e+08,84934656,2816.18,56.5248,4,126.019,84934656, 8221248, 8221248, 50176, 10.3311, 84934656, 589824, 589824, 589824, 144, 84934656, 84934656, 36864, 147456, 1, 6, 90, 7, 1, 1, 1, 37, 37, 37, 256, 12
